P,"ReΣ_P(iω0, kF)","ReΣ_P(iω1, kF)"
"(1, 2, 1)",0.000746 ± 1.5e-5,0.000732 ± 1.5e-5
"(4, 0, 0)",0.02571 ± 0.00023,0.02132 ± 0.00022
"(1, 0, 2)",0.170636 ± 1.5e-5,0.170641 ± 1.6e-5
"(1, 1, 0)",0.228392 ± 1.8e-5,0.228381 ± 1.8e-5
"(2, 0, 0)",0.225669 ± 4.3e-5,0.224661 ± 4.2e-5
"(1, 1, 2)",0.0822987 ± 7.1e-6,0.0822979 ± 7.1e-6
"(2, 0, 2)",0.175692 ± 3.9e-5,0.173603 ± 3.6e-5
"(2, 1, 0)",0.023623 ± 4.4e-5,0.025908 ± 4.3e-5
"(1, 0, 1)",0.190392 ± 1.7e-5,0.19038 ± 1.7e-5
"(3, 0, 0)",0.005467 ± 5.4e-5,0.008284 ± 5.2e-5
"(1, 2, 0)",0.010648 ± 4.3e-5,0.010617 ± 4.2e-5
"(2, 0, 1)",0.136655 ± 2.5e-5,0.135581 ± 2.4e-5
"(3, 1, 0)",0.01325 ± 0.00021,0.00948 ± 0.0002
"(1, 1, 1)",0.077517 ± 6.3e-6,0.0775153 ± 6.3e-6
"(1, 0, 3)",0.292337 ± 2.6e-5,0.29235 ± 2.6e-5
"(1, 3, 0)",-0.01341 ± 0.00032,-0.0135 ± 0.00032
"(2, 1, 1)",-0.019882 ± 3.5e-5,-0.015434 ± 3.3e-5
"(2, 2, 0)",-0.02712 ± 0.00033,-0.02679 ± 0.00033
"(3, 0, 1)",-0.027153 ± 6.5e-5,-0.021358 ± 5.9e-5
"(1, 0, 0)",0.612874 ± 5.4e-5,0.612852 ± 5.4e-5
